year,month,minsamp,finalwgt,cmpwgt,basicwgt,orgwgt,hhwgt,famwgt,statefips,countyfips,age,female,hispanic,wbhaom,veteran,cow1,numjobs,ftptstat,mind16,mocc03,wage
2022,1,4,5719.7026,5891.5254,5891.5254,22932.32,.46219563,.46219563,MD,Not identified,27,Male,Hispanic,Hispanic,Not a veteran,"Private, for profit",Employed with one job,"PT hrs, usually PT for non-economic reasons","Medical, except hospital",Professional and related occupations,34.615002
2022,1,3,9262.874,8982.833,8982.833,,.92628735,.92628735,MD,510,31,Male,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT",Construction,"Management, business, and financial occupations",
2022,1,3,4541.8848,,,,.92628735,.45418847,MD,510,2,Female,Not hispanic,Multiple races,,,,,,,
2022,1,3,4119.3306,,,,.92628735,.41193306,MD,510,9,Female,Not hispanic,Multiple races,,,,,,,
2022,1,5,3709.5486,3657.6777,3657.6777,,.37095487,.37095487,MD,510,37,Female,Not hispanic,White,Not a veteran,"Private, for profit",Employed with one job,"PT for non-economic reasons, usually FT",Educational,Professional and related occupations,
2022,1,5,5452.1353,5365.9531,5365.9531,,.37095487,.37095487,MD,510,36,Male,Not hispanic,White,Not a veteran,"Private, for profit",Employed with one job,"PT for non-economic reasons, usually FT","Finance, insurance and real estate. Business, auto, repair, and other professional services.",Professional and related occupations,
2022,1,5,3884.7571,,,,.37095487,.38847572,MD,510,2,Male,Not hispanic,White,,,,,,,
2022,1,8,7562.5737,7468.8159,7468.8159,29005.281,.75625736,.75625736,MD,510,45,Male,Hispanic,Hispanic,Not a veteran,"Self-employed, incorporated",Employed with one job,"Not at work, usually FT",Construction,Construction and extraction occupations,
2022,1,8,4779.0649,,,,.75625736,.4779065,MD,510,9,Male,Hispanic,Hispanic,,,,,,,
2022,1,1,5428.1836,5404.625,5404.625,,.37291211,.37291211,MD,Not identified,33,Male,Not hispanic,White,Veteran,Government - State,Employed with one job,"FT hours (35+), usually FT",Public administration,"Management, business, and financial occupations",
2022,1,1,4334.3145,,,,.37291211,.43343145,MD,Not identified,0,Male,Not hispanic,White,,,,,,,
2022,1,2,4300.4697,4287.7734,4287.7734,,.43004695,.43004695,MD,510,35,Male,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT","Finance, insurance and real estate. Business, auto, repair, and other professional services.",Professional and related occupations,
2022,1,6,4257.5615,4236.6016,4236.6016,,.40865311,.42575616,MD,510,20,Male,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT","Agriculture, mining, forestry and fisheries","Farming, fishing, and forestry occupations",
2022,1,4,3684.1577,3496.5479,3496.5479,12687.137,.36841577,.36841577,MD,510,40,Male,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT","Medical, except hospital",Office and administrative support occupations,18
2022,1,4,3888.9771,3965.0244,3965.0244,15206.175,.36841577,.38889769,MD,510,17,Male,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"PT hrs, usually PT for non-economic reasons",Entertainment and recreation,Service occupations,11
2022,1,6,3992.4043,3932.2654,3932.2654,,.39924043,.39924043,MD,510,48,Male,Hispanic,Hispanic,Not a veteran,"Private, for profit",Employed with one job,"Not at work, usually part-time",Construction,Construction and extraction occupations,
2022,1,3,8697.1875,8566.1787,8566.1787,,.54103577,.86971873,MD,510,46,Male,Hispanic,Hispanic,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT",Construction,Construction and extraction occupations,
2022,1,3,9709.7119,,,,.54103577,.97097117,MD,510,13,Male,Hispanic,Hispanic,,,,,,,
2022,1,6,4235.75,4210.0117,4210.0117,,.42357498,.42357498,MD,510,45,Female,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT",Transportation,Transportation and material moving occupations,
2022,1,8,3666.9421,3480.2087,3480.2087,12627.851,.54072678,.36669421,MD,Not identified,41,Male,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT",Construction,Construction and extraction occupations,20
2022,1,8,7777.9531,,,,.54072678,.77779531,MD,Not identified,1,Male,Not hispanic,Black,,,,,,,
2022,1,8,4478.6885,,,,.54072678,.44786885,MD,Not identified,8,Female,Not hispanic,Black,,,,,,,
2022,1,8,4478.6885,,,,.54072678,.44786885,MD,Not identified,9,Female,Not hispanic,Black,,,,,,,
2022,1,8,6016.8936,,,,.54072678,.60168934,MD,Not identified,10,Male,Not hispanic,Black,,,,,,,
2022,1,8,4761.7227,,,,.54072678,.4761723,MD,Not identified,12,Male,Not hispanic,Black,,,,,,,
2022,1,8,4889.0146,,,,.54072678,.48890147,MD,Not identified,14,Male,Not hispanic,Black,,,,,,,
2022,1,8,4135.2202,4114.8623,4114.8623,19167.406,.54072678,.41352203,MD,Not identified,23,Male,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT",Construction,Construction and extraction occupations,15
2022,1,1,6277.5034,6211.8213,6211.8213,,.41313604,.62775034,MD,510,56,Male,Not hispanic,White,Not a veteran,"Private, nonprofit",Employed with one job,"FT hours (35+), usually FT","Medical, except hospital",Professional and related occupations,
2022,1,8,4135.2202,4114.8623,4114.8623,19167.406,.41352203,.41352203,MD,510,23,Male,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT",Transportation,Transportation and material moving occupations,16.5
2022,1,1,4629.9834,4521.0269,4521.0269,,.42358407,.42358407,MD,Not identified,64,Male,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT","Medical, except hospital",Service occupations,
2022,1,1,4235.8408,4210.1016,4210.1016,,.42358407,.42358407,MD,Not identified,49,Female,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"PT hrs, usually PT for economic reasons",Retail trade,Sales and related occupations,
2022,1,1,6641.4463,7609.0942,7609.0942,,.42358407,.66414464,MD,Not identified,29,Female,Not hispanic,Black,Not a veteran,"Private, for profit",,Unemployed FT,"Medical, except hospital",Sales and related occupations,
2022,1,7,4842.8877,4806.5659,4806.5659,,.48428878,.48428878,MD,31,26,Female,Not hispanic,White,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT","Finance, insurance and real estate. Business, auto, repair, and other professional services.",Professional and related occupations,
2022,1,7,6098.8789,5998.729,5998.729,,.48428878,.6098879,MD,31,25,Male,Not hispanic,White,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT","Finance, insurance and real estate. Business, auto, repair, and other professional services.",Professional and related occupations,
2022,1,6,5464.5825,5340.4175,5340.4175,,.54645824,.54645824,MD,31,29,Female,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT",Retail trade,Office and administrative support occupations,
2022,1,5,5834.5142,5909.1855,5909.1855,,.3716197,.58345145,MD,510,34,Female,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"PT hrs, usually PT for non-economic reasons","Medical, except hospital",Professional and related occupations,
2022,1,5,8289.0684,,,,.3716197,.82890683,MD,510,1,Male,Not hispanic,Black,,,,,,,
2022,1,5,9688.9824,,,,.3716197,.96889824,MD,510,11,Male,Not hispanic,Black,,,,,,,
2022,1,3,5584.9805,5568.4917,5568.4917,,.55849802,.55849802,MD,510,36,Male,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT","Manufacturing, nondurable goods",Transportation and material moving occupations,
2022,1,8,3695.2393,3608.2798,3608.2798,14055.408,.39335683,.39335683,MD,510,71,Male,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"PT for non-economic reasons, usually FT","Personal services, including private household","Management, business, and financial occupations",15
2022,1,8,6022.8389,5995.1851,5995.1851,24494.484,.6022839,.6022839,MD,Not identified,51,Female,Not hispanic,White,Not a veteran,Government - State,Two jobs,"FT hours (35+), usually FT",Public administration,"Management, business, and financial occupations",27.1625
2022,1,8,5997.1621,5856.0322,5856.0322,23237.285,.6022839,.6022839,MD,Not identified,54,Male,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT",Transportation,Transportation and material moving occupations,26.166666
2022,1,8,7467.8071,7205.0581,7205.0581,28459.994,.6022839,.74678069,MD,Not identified,20,Female,Not hispanic,Multiple races,Not a veteran,"Private, for profit",Employed with one job,"PT hrs, usually PT for non-economic reasons",Retail trade,Sales and related occupations,11.75
2022,1,8,5573.0439,5397.1304,5397.1304,21508.914,.6022839,.55730438,MD,Not identified,22,Male,Not hispanic,Multiple races,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT","Finance, insurance and real estate. Business, auto, repair, and other professional services.","Installation, maintenance, and repair occupations",21
2022,1,2,4255.6362,4229.7769,4229.7769,,.4255636,.4255636,MD,510,45,Female,Not hispanic,Black,Not a veteran,"Private, nonprofit",Employed with one job,"FT hours (35+), usually FT","Medical, except hospital",Professional and related occupations,
2022,1,2,4305.623,4204.2998,4204.2998,,.4255636,.4255636,MD,510,45,Male,Not hispanic,Black,Not a veteran,"Self-employed, incorporated",Employed with one job,"Not at work, usually FT",Construction,"Management, business, and financial occupations",
2022,1,2,4277.5503,4256.4917,4256.4917,,.4255636,.42775503,MD,510,21,Male,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"PT hrs, usually PT for non-economic reasons",Transportation,Office and administrative support occupations,
2022,1,4,6025.3179,5883.5254,5883.5254,23346.381,.60253179,.60253179,MD,Not identified,52,Male,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT",Retail trade,Office and administrative support occupations,18
2022,1,2,4163.6787,4144.5615,4144.5615,,.41636786,.41636786,MD,31,50,Female,Not hispanic,White,Not a veteran,"Self-employed, incorporated",Employed with one job,"FT hours (35+), usually FT","Finance, insurance and real estate. Business, auto, repair, and other professional services.",Professional and related occupations,
2022,1,2,3417.3286,3381.5728,3381.5728,,.41636786,.41636786,MD,31,57,Male,Not hispanic,White,Not a veteran,Government - Federal,Employed with one job,"FT hours (35+), usually FT",Public administration,Professional and related occupations,
2022,1,2,5770.5117,5792.2192,5792.2192,,.41636786,.57705116,MD,31,22,Female,Not hispanic,White,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT",Educational,Professional and related occupations,
2022,1,2,4601.4761,4537.1333,4537.1333,,.46014759,.46014759,MD,Not identified,35,Female,Not hispanic,White,Not a veteran,"Private, nonprofit",Employed with one job,"FT hours (35+), usually FT",Hospital,Professional and related occupations,
2022,1,2,4353.4917,4284.6758,4284.6758,,.46014759,.46014759,MD,Not identified,39,Male,Not hispanic,White,Not a veteran,"Self-employed, unincorporated",Employed with one job,"FT hours (35+), usually FT","Manufacturing, durable goods","Management, business, and financial occupations",
2022,1,2,5861.5684,,,,.46014759,.58615685,MD,Not identified,2,Female,Not hispanic,White,,,,,,,
2022,1,2,5337.6128,,,,.46014759,.53376126,MD,Not identified,4,Female,Not hispanic,White,,,,,,,
2022,1,5,5701.4722,5545.2988,5545.2988,,.57014722,.57014722,MD,Not identified,69,Male,Not hispanic,White,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT","Finance, insurance and real estate. Business, auto, repair, and other professional services.",Professional and related occupations,
2022,1,5,5452.1353,5365.9531,5365.9531,,.57014722,.54521352,MD,Not identified,37,Male,Not hispanic,White,Not a veteran,Government - Local,Employed with one job,"PT hrs, usually PT for non-economic reasons",Educational,Professional and related occupations,
2022,1,4,4000.8711,3937.6294,3937.6294,15291.854,.33501083,.33501083,MD,Not identified,35,Male,Not hispanic,White,Not a veteran,"Self-employed, incorporated",Employed with one job,"PT for non-economic reasons, usually FT","Finance, insurance and real estate. Business, auto, repair, and other professional services.","Management, business, and financial occupations",
2022,1,4,3350.1084,3314.1504,3314.1504,12846.158,.33501083,.33501083,MD,Not identified,30,Female,Not hispanic,White,Not a veteran,"Private, for profit",Employed with one job,"PT for non-economic reasons, usually FT","Finance, insurance and real estate. Business, auto, repair, and other professional services.",Professional and related occupations,38.461399
2022,1,4,4565.436,,,,.33501083,.45654362,MD,Not identified,1,Male,Not hispanic,White,,,,,,,
2022,1,4,4421.2876,,,,.38889769,.44212878,MD,510,13,Male,Not hispanic,White,,,,,,,
2022,1,4,3888.9771,3965.0244,3965.0244,25682.074,.38889769,.38889769,MD,510,18,Male,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"PT hrs, usually PT for non-economic reasons",Retail trade,Transportation and material moving occupations,10
2022,1,4,3952.0356,3928.0212,3928.0212,13829.381,.39520356,.39520356,MD,510,67,Female,Not hispanic,Black,Not a veteran,"Private, nonprofit",Employed with one job,"FT hours (35+), usually FT",Educational,Professional and related occupations,49.450287
2022,1,8,3666.9421,3480.2087,3480.2087,12627.851,.50104284,.50104284,MD,510,40,Male,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT","Finance, insurance and real estate. Business, auto, repair, and other professional services.","Installation, maintenance, and repair occupations",31.07
2022,1,8,5010.4282,5125.5947,5125.5947,20115.93,.50104284,.50104284,MD,510,37,Female,Not hispanic,Black,Not a veteran,"Private, for profit",Two jobs,"FT hours (35+), usually FT",Hospital,Professional and related occupations,30
2022,1,4,4992.7373,4991.4331,4991.4331,20173.547,.34804493,.34804493,MD,31,38,Male,Not hispanic,Asian,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT","Manufacturing, nondurable goods","Management, business, and financial occupations",8.1730003
2022,1,4,3480.4492,3412.0759,3412.0759,13400.809,.34804493,.34804493,MD,31,39,Female,Not hispanic,Asian,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT","Manufacturing, nondurable goods","Management, business, and financial occupations",120.06825
2022,1,4,5519.7085,,,,.34804493,.5519709,MD,31,10,Male,Not hispanic,Asian,,,,,,,
2022,1,3,5849,5756.5444,5756.5444,,.44523486,.44523486,MD,31,38,Male,Not hispanic,White,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT","Finance, insurance and real estate. Business, auto, repair, and other professional services.",Professional and related occupations,
2022,1,3,5489.0381,,,,.44523486,.54890376,MD,31,3,Male,Not hispanic,White,,,,,,,
2022,1,3,3451.698,,,,.44523486,.34516981,MD,31,6,Female,Not hispanic,White,,,,,,,
2022,1,3,5361.3901,,,,.44523486,.53613901,MD,31,8,Male,Not hispanic,White,,,,,,,
2022,1,3,6207.5664,,,,.44523486,.62075663,MD,31,9,Male,Not hispanic,White,,,,,,,
2022,1,8,4039.7043,4015.1572,4015.1572,15291.204,.40397045,.40397045,MD,31,58,Female,Not hispanic,Black,Veteran,Government - Federal,Employed with one job,"FT hours (35+), usually FT",Public administration,"Management, business, and financial occupations",25
2022,1,3,5277.5532,5237.6343,5237.6343,,.52775532,.52775532,MD,31,58,Female,Not hispanic,White,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT",Social Services,Professional and related occupations,
2022,1,3,4721.5039,4672.1021,4672.1021,,.52775532,.52775532,MD,31,57,Male,Not hispanic,White,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT","Finance, insurance and real estate. Business, auto, repair, and other professional services.","Management, business, and financial occupations",
2022,1,3,5693.0205,5345.5684,5345.5684,,.52775532,.56930208,MD,31,20,Male,Not hispanic,White,Not a veteran,"Private, for profit",,Unemployed PT,Educational,Office and administrative support occupations,
2022,1,7,5666.4175,5738.647,5738.647,,.47508693,.47508693,MD,Not identified,21,Male,Not hispanic,White,Not a veteran,Government - Federal,Employed with one job,"FT hours (35+), usually FT",Public administration,"Management, business, and financial occupations",
2022,1,7,5837.6182,,,,.47508693,.58376181,MD,Not identified,12,Male,Not hispanic,White,,,,,,,
2022,1,2,4230.356,4204.6504,4204.6504,,.42303559,.42303559,MD,510,57,Female,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"PT for non-economic reasons, usually FT",Hospital,Transportation and material moving occupations,
2022,1,2,4610.9248,4502.4165,4502.4165,,.42303559,.42303559,MD,510,60,Male,Not hispanic,Black,Veteran,Government - Federal,Employed with one job,"FT hours (35+), usually FT",Hospital,Professional and related occupations,
2022,1,2,5256.9321,5098.0015,5098.0015,,.42303559,.52569324,MD,510,30,Male,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT",Hospital,Service occupations,
2022,1,5,4535.3389,4639.5854,4639.5854,,.3716197,.45353389,MD,510,39,Female,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT","Medical, except hospital",Service occupations,
2022,1,7,4100.5508,4056.5381,4056.5381,,.41005507,.41005507,MD,31,34,Female,Not hispanic,White,Not a veteran,"Private, nonprofit",Employed with one job,"PT hrs, usually PT for non-economic reasons",Social Services,Professional and related occupations,
2022,1,5,4535.3389,4639.5854,4639.5854,,.45353389,.45353389,MD,510,38,Female,Not hispanic,Black,Not a veteran,Government - Local,Two jobs,"FT hours (35+), usually FT",Public administration,Service occupations,
2022,1,5,6472.146,,,,.45353389,.64721459,MD,510,6,Male,Not hispanic,Black,,,,,,,
2022,1,5,7420.3906,,,,.45353389,.74203908,MD,510,14,Female,Not hispanic,Black,,,,,,,
2022,1,1,4939.1748,5070.4448,5070.4448,,.38947293,.4939175,MD,Not identified,20,Female,Not hispanic,White,Not a veteran,"Private, for profit",,Unemployed FT,"Medical, except hospital",Office and administrative support occupations,
2022,1,7,6245.6074,6239.3481,6239.3481,,.36102486,.36102486,MD,31,40,Male,Hispanic,Hispanic,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT","Finance, insurance and real estate. Business, auto, repair, and other professional services.","Management, business, and financial occupations",
2022,1,8,3982.1755,3919.2292,3919.2292,15840.09,.35575762,.35575762,MD,31,37,Male,Not hispanic,White,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT",Communications and utilities,"Management, business, and financial occupations",57.211498
2022,1,8,3557.5762,3507.8303,3507.8303,13776.881,.35575762,.35575762,MD,31,38,Female,Not hispanic,White,Not a veteran,"Private, nonprofit",Employed with one job,"FT hours (35+), usually FT",Entertainment and recreation,"Management, business, and financial occupations",29.914446
2022,1,8,3961.1401,3937.0703,3937.0703,15719.6,.39611402,.39611402,MD,510,48,Female,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT",Hospital,"Management, business, and financial occupations",15
2022,1,8,4419.8047,4286.1826,4286.1826,16683.645,.39611402,.44198048,MD,510,30,Male,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT",Entertainment and recreation,"Management, business, and financial occupations",18
2022,1,8,3961.1401,3937.0703,3937.0703,15719.6,.39611402,.39611402,MD,31,46,Female,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT",Retail trade,Office and administrative support occupations,16.6
2022,1,8,5056.0225,,,,.39611402,.50560224,MD,31,11,Female,Not hispanic,Black,,,,,,,
2022,1,3,5905.4624,5821.3828,5821.3828,,.48830476,.48830476,MD,510,39,Male,Hispanic,Hispanic,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT","Finance, insurance and real estate. Business, auto, repair, and other professional services.","Installation, maintenance, and repair occupations",
2022,1,3,4883.0479,4831.9644,4831.9644,,.48830476,.48830476,MD,510,34,Female,Hispanic,Hispanic,Not a veteran,"Private, for profit",Employed with one job,"PT hrs, usually PT for non-economic reasons",Retail trade,Sales and related occupations,
2022,1,3,3548.4102,,,,.48830476,.35484102,MD,510,8,Female,Hispanic,Hispanic,,,,,,,
2022,1,1,3726.9644,3674.8501,3674.8501,,.37269643,.37269643,MD,510,36,Female,Not hispanic,White,Not a veteran,"Private, nonprofit",Employed with one job,"FT hours (35+), usually FT","Medical, except hospital",Professional and related occupations,
2022,1,1,3639.5486,,,,.37269643,.36395484,MD,510,6,Female,Not hispanic,White,,,,,,,
2022,1,1,6472.5688,6459.5767,6459.5767,,.49371532,.49371532,MD,Not identified,45,Male,Not hispanic,White,Not a veteran,Government - Federal,Employed with one job,"FT hours (35+), usually FT",Educational,Professional and related occupations,
2022,1,6,4086.531,4061.6992,4061.6992,,.40865311,.40865311,MD,510,74,Female,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"PT hrs, usually PT for non-economic reasons","Medical, except hospital",Service occupations,
2022,1,3,7813.5127,8149.6895,8149.6895,,.78135127,.78135127,MD,510,23,Female,Not hispanic,Black,Not a veteran,Government - Local,Employed with one job,"Not at work, usually FT",Educational,Professional and related occupations,
2022,1,3,7596.7373,7770.7422,7770.7422,,.78135127,.75967371,MD,510,25,Male,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"PT for non-economic reasons, usually FT","Medical, except hospital",Service occupations,
2022,1,8,3073.7661,3007.1516,3007.1516,11656.183,.30737662,.30737662,MD,31,28,Female,Not hispanic,Asian,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT",Communications and utilities,Professional and related occupations,37.5
2022,1,8,3073.7661,3007.1516,3007.1516,11656.183,.30737662,.30737662,MD,31,26,Female,Not hispanic,Asian,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT","Manufacturing, durable goods",Professional and related occupations,34.375
2022,1,8,3073.7661,3007.1516,3007.1516,11656.183,.30737662,.30737662,MD,31,29,Female,Not hispanic,Asian,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT",Communications and utilities,Professional and related occupations,37.5
2022,1,1,7942.6479,7919.1987,7919.1987,,.79426479,.79426479,MD,510,39,Male,Not hispanic,Black,Not a veteran,Government - State,Employed with one job,"FT hours (35+), usually FT",Public administration,Professional and related occupations,
2022,1,2,4610.9248,4502.4165,4502.4165,,.42303559,.42303559,MD,510,56,Male,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT","Medical, except hospital",Service occupations,
2022,1,2,4230.356,4204.6504,4204.6504,,.42303559,.42303559,MD,510,55,Female,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT",Transportation,Transportation and material moving occupations,
2022,1,2,4033.2283,4112.0967,4112.0967,,.42303559,.40332282,MD,510,19,Male,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"PT hrs, usually PT for non-economic reasons",Entertainment and recreation,Service occupations,
2022,1,2,7317.4888,7632.3247,7632.3247,,.42303559,.73174888,MD,510,21,Female,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"FT hours, usually PT for non-economic",Transportation,Transportation and material moving occupations,
2022,1,2,5256.9321,5098.0015,5098.0015,,.41057166,.52569324,MD,Not identified,30,Male,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT","Finance, insurance and real estate. Business, auto, repair, and other professional services.",Office and administrative support occupations,
2022,1,2,4252.1489,4232.1592,4232.1592,,.3524099,.3524099,MD,31,54,Male,Not hispanic,Asian,Not a veteran,"Private, nonprofit",Employed with one job,"FT hours (35+), usually FT",Educational,Professional and related occupations,
2022,1,2,3524.0989,3484.4224,3484.4224,,.3524099,.3524099,MD,31,49,Female,Not hispanic,Asian,Not a veteran,"Private, nonprofit",Employed with one job,"FT hours (35+), usually FT",Educational,Professional and related occupations,
2022,1,8,3712.2402,3624.8806,3624.8806,16597.697,.48560232,.48560232,MD,510,63,Male,Not hispanic,Black,Veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT",Transportation,Transportation and material moving occupations,16
2022,1,1,4385.877,4339.9946,4339.9946,,.43858767,.43858767,MD,510,32,Female,Hispanic,Hispanic,Not a veteran,"Private, for profit",Employed with one job,"Not at work, usually FT","Medical, except hospital",Professional and related occupations,
