year,month,minsamp,finalwgt,cmpwgt,basicwgt,orgwgt,hhwgt,famwgt,statefips,countyfips,age,female,hispanic,wbhaom,veteran,cow1,numjobs,ftptstat,mind16,mocc03,wage
2022,1,8,3695.2393,3608.2798,3608.2798,14055.408,.39335683,.39335683,MD,510,71,Male,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"PT for non-economic reasons, usually FT","Personal services, including private household","Management, business, and financial occupations",15
2022,1,8,6022.8389,5995.1851,5995.1851,24494.484,.6022839,.6022839,MD,Not identified,51,Female,Not hispanic,White,Not a veteran,Government - State,Two jobs,"FT hours (35+), usually FT",Public administration,"Management, business, and financial occupations",27.1625
2022,1,8,5997.1621,5856.0322,5856.0322,23237.285,.6022839,.6022839,MD,Not identified,54,Male,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT",Transportation,Transportation and material moving occupations,26.166666
2022,1,8,7467.8071,7205.0581,7205.0581,28459.994,.6022839,.74678069,MD,Not identified,20,Female,Not hispanic,Multiple races,Not a veteran,"Private, for profit",Employed with one job,"PT hrs, usually PT for non-economic reasons",Retail trade,Sales and related occupations,11.75
2022,1,8,5573.0439,5397.1304,5397.1304,21508.914,.6022839,.55730438,MD,Not identified,22,Male,Not hispanic,Multiple races,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT","Finance, insurance and real estate. Business, auto, repair, and other professional services.","Installation, maintenance, and repair occupations",21
2022,1,4,6025.3179,5883.5254,5883.5254,23346.381,.60253179,.60253179,MD,Not identified,52,Male,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT",Retail trade,Office and administrative support occupations,18
2022,1,4,4000.8711,3937.6294,3937.6294,15291.854,.33501083,.33501083,MD,Not identified,35,Male,Not hispanic,White,Not a veteran,"Self-employed, incorporated",Employed with one job,"PT for non-economic reasons, usually FT","Finance, insurance and real estate. Business, auto, repair, and other professional services.","Management, business, and financial occupations",
2022,1,4,3350.1084,3314.1504,3314.1504,12846.158,.33501083,.33501083,MD,Not identified,30,Female,Not hispanic,White,Not a veteran,"Private, for profit",Employed with one job,"PT for non-economic reasons, usually FT","Finance, insurance and real estate. Business, auto, repair, and other professional services.",Professional and related occupations,38.461399
2022,1,4,3888.9771,3965.0244,3965.0244,25682.074,.38889769,.38889769,MD,510,18,Male,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"PT hrs, usually PT for non-economic reasons",Retail trade,Transportation and material moving occupations,10
2022,1,4,3952.0356,3928.0212,3928.0212,13829.381,.39520356,.39520356,MD,510,67,Female,Not hispanic,Black,Not a veteran,"Private, nonprofit",Employed with one job,"FT hours (35+), usually FT",Educational,Professional and related occupations,49.450287
2022,1,8,3666.9421,3480.2087,3480.2087,12627.851,.50104284,.50104284,MD,510,40,Male,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT","Finance, insurance and real estate. Business, auto, repair, and other professional services.","Installation, maintenance, and repair occupations",31.07
2022,1,8,5010.4282,5125.5947,5125.5947,20115.93,.50104284,.50104284,MD,510,37,Female,Not hispanic,Black,Not a veteran,"Private, for profit",Two jobs,"FT hours (35+), usually FT",Hospital,Professional and related occupations,30
2022,1,4,4992.7373,4991.4331,4991.4331,20173.547,.34804493,.34804493,MD,31,38,Male,Not hispanic,Asian,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT","Manufacturing, nondurable goods","Management, business, and financial occupations",8.1730003
2022,1,4,3480.4492,3412.0759,3412.0759,13400.809,.34804493,.34804493,MD,31,39,Female,Not hispanic,Asian,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT","Manufacturing, nondurable goods","Management, business, and financial occupations",120.06825
2022,1,8,4039.7043,4015.1572,4015.1572,15291.204,.40397045,.40397045,MD,31,58,Female,Not hispanic,Black,Veteran,Government - Federal,Employed with one job,"FT hours (35+), usually FT",Public administration,"Management, business, and financial occupations",25
2022,1,8,3982.1755,3919.2292,3919.2292,15840.09,.35575762,.35575762,MD,31,37,Male,Not hispanic,White,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT",Communications and utilities,"Management, business, and financial occupations",57.211498
2022,1,8,3557.5762,3507.8303,3507.8303,13776.881,.35575762,.35575762,MD,31,38,Female,Not hispanic,White,Not a veteran,"Private, nonprofit",Employed with one job,"FT hours (35+), usually FT",Entertainment and recreation,"Management, business, and financial occupations",29.914446
2022,1,8,3961.1401,3937.0703,3937.0703,15719.6,.39611402,.39611402,MD,510,48,Female,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT",Hospital,"Management, business, and financial occupations",15
2022,1,8,4419.8047,4286.1826,4286.1826,16683.645,.39611402,.44198048,MD,510,30,Male,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT",Entertainment and recreation,"Management, business, and financial occupations",18
2022,1,8,3961.1401,3937.0703,3937.0703,15719.6,.39611402,.39611402,MD,31,46,Female,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT",Retail trade,Office and administrative support occupations,16.6
2022,1,8,3073.7661,3007.1516,3007.1516,11656.183,.30737662,.30737662,MD,31,28,Female,Not hispanic,Asian,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT",Communications and utilities,Professional and related occupations,37.5
2022,1,8,3073.7661,3007.1516,3007.1516,11656.183,.30737662,.30737662,MD,31,26,Female,Not hispanic,Asian,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT","Manufacturing, durable goods",Professional and related occupations,34.375
2022,1,8,3073.7661,3007.1516,3007.1516,11656.183,.30737662,.30737662,MD,31,29,Female,Not hispanic,Asian,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT",Communications and utilities,Professional and related occupations,37.5
2022,1,8,3712.2402,3624.8806,3624.8806,16597.697,.48560232,.48560232,MD,510,63,Male,Not hispanic,Black,Veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT",Transportation,Transportation and material moving occupations,16
2022,1,4,5840.8911,6067.2041,6067.2041,25378.246,.5840891,.5840891,MD,31,57,Female,Not hispanic,White,Not a veteran,Government - Federal,,Unemployed PT,Educational,Professional and related occupations,
2022,1,4,5823.375,5795.999,5795.999,23991.229,.5840891,.5840891,MD,31,58,Male,Not hispanic,Multiple races,Not a veteran,"Private, for profit",Employed with one job,"Not at work, usually FT","Finance, insurance and real estate. Business, auto, repair, and other professional services.",Professional and related occupations,147.56966
2022,1,8,3982.1755,3919.2292,3919.2292,15840.09,.35575762,.35575762,MD,Not identified,37,Male,Not hispanic,White,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT",Retail trade,Sales and related occupations,31.5
2022,1,8,3557.5762,3507.8303,3507.8303,13776.881,.35575762,.35575762,MD,Not identified,36,Female,Not hispanic,White,Not a veteran,"Private, for profit",Employed with one job,"PT hrs, usually PT for non-economic reasons","Medical, except hospital",Service occupations,31.5
2022,1,4,5033.9512,5149.6587,5149.6587,20210.371,.50339514,.50339514,MD,510,38,Female,Not hispanic,Black,Not a veteran,"Private, nonprofit",Employed with one job,"PT hrs, usually PT for non-economic reasons",Social Services,Service occupations,12.820333
2022,1,4,4334.1157,4321.3203,4321.3203,15679.802,.50339514,.50339514,MD,510,37,Male,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"PT hrs, usually PT for non-economic reasons",Transportation,Transportation and material moving occupations,10
2022,1,4,3430.1917,3376.8442,3376.8442,13262.438,.34301916,.34301916,MD,Not identified,43,Female,Not hispanic,White,Not a veteran,"Private, nonprofit",Employed with one job,"PT for non-economic reasons, usually FT","Finance, insurance and real estate. Business, auto, repair, and other professional services.","Management, business, and financial occupations",42.857143
2022,1,4,3919.4143,3857.4602,3857.4602,15590.442,.34301916,.34301916,MD,Not identified,38,Male,Not hispanic,White,Veteran,"Private, for profit",Employed with one job,"PT for non-economic reasons, usually FT","Finance, insurance and real estate. Business, auto, repair, and other professional services.",Professional and related occupations,147.56966
2022,1,8,3957.457,3933.4097,3933.4097,14979.879,.39574569,.39574569,MD,33,58,Female,Not hispanic,Black,Not a veteran,Government - Federal,Employed with one job,"FT hours (35+), usually FT",Public administration,Office and administrative support occupations,76.57
2022,1,4,4657.4058,4625.7822,4625.7822,19236.994,.50204635,.50204635,MD,25,62,Male,Not hispanic,White,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT","Manufacturing, durable goods",Production occupations,33.653751
2022,1,4,5927.9155,5900.6978,5900.6978,24094.49,.59279156,.59279156,MD,Not identified,53,Female,Not hispanic,White,Not a veteran,"Self-employed, unincorporated",Employed with one job,"PT hrs, usually PT for non-economic reasons",Educational,Office and administrative support occupations,
2022,1,4,3785.8999,3743.8013,3743.8013,14369.589,.59279156,.37858999,MD,Not identified,18,Female,Not hispanic,White,Not a veteran,"Private, for profit",Employed with one job,"PT hrs, usually PT for non-economic reasons",Entertainment and recreation,Sales and related occupations,14
2022,1,4,4254.7988,3995.1228,3995.1228,13072.793,.59279156,.42547986,MD,Not identified,21,Male,Not hispanic,White,Not a veteran,"Private, for profit",,Unemployed PT,"Personal services, including private household",Transportation and material moving occupations,
2022,1,4,4254.7988,3995.1228,3995.1228,13072.793,.59279156,.42547986,MD,Not identified,23,Male,Not hispanic,White,Not a veteran,"Private, for profit",,Unemployed FT,Retail trade,Sales and related occupations,
2022,1,4,4989.5718,4959.5015,4959.5015,19216.645,.49895716,.49895716,MD,Not identified,60,Female,Not hispanic,White,Not a veteran,"Private, for profit",Employed with one job,"PT hrs, usually PT for non-economic reasons","Medical, except hospital",Professional and related occupations,38
2022,1,4,4657.4058,4625.7822,4625.7822,19236.994,.49895716,.49895716,MD,Not identified,61,Male,Not hispanic,White,Veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT",Wholesale trade,Professional and related occupations,118.05573
2022,1,4,3561.1199,3534.4116,3534.4116,13699.923,.49895716,.356112,MD,Not identified,25,Female,Not hispanic,White,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT",Retail trade,Professional and related occupations,24.03825
2022,1,8,5900.2153,5873.1245,5873.1245,23995.783,.59002149,.59002149,MD,33,51,Female,Not hispanic,White,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT",Entertainment and recreation,Service occupations,17
2022,1,8,5875.0615,5736.8047,5736.8047,22764.18,.59002149,.59002149,MD,33,50,Male,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT",Retail trade,Transportation and material moving occupations,21
2022,1,8,3514.4902,3705.136,3705.136,15230.162,.59002149,.35144904,MD,33,25,Female,Not hispanic,Multiple races,Not a veteran,Government - Local,,Unemployed PT,Entertainment and recreation,Office and administrative support occupations,
2022,1,8,8674.4814,8633.7021,8633.7021,34228.84,.59002149,.86744815,MD,33,50,Male,Not hispanic,Multiple races,Not a veteran,"Private, for profit",Employed with one job,"PT hrs, usually PT for economic reasons",Entertainment and recreation,"Installation, maintenance, and repair occupations",13
2022,1,4,3338.512,3349.123,3349.123,13006.38,.3025322,.3025322,MD,31,33,Male,Not hispanic,Asian,Not a veteran,"Self-employed, unincorporated",Employed with one job,"FT hours (35+), usually FT","Finance, insurance and real estate. Business, auto, repair, and other professional services.",Sales and related occupations,
2022,1,4,3025.322,2959.7571,2959.7571,11472.475,.3025322,.3025322,MD,31,28,Female,Not hispanic,Asian,Not a veteran,"Private, nonprofit",Employed with one job,"Not at work, usually FT","Finance, insurance and real estate. Business, auto, repair, and other professional services.",Professional and related occupations,34.375
2022,1,4,4527.854,4424.9736,4424.9736,17958.117,.45278543,.45278543,MD,31,27,Female,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT",Communications and utilities,Sales and related occupations,14.01
2022,1,4,5488.603,5614.3203,5614.3203,21853.322,.38715732,.54886031,MD,33,29,Male,Not hispanic,Black,Not a veteran,Government - State,Employed with one job,"FT hours (35+), usually FT",Entertainment and recreation,Office and administrative support occupations,12.5
2022,1,4,3976.0366,3951.8762,3951.8762,16755.379,.39760366,.39760366,MD,Not identified,64,Female,Not hispanic,Black,Not a veteran,Government - Federal,Employed with one job,"FT hours (35+), usually FT",Public administration,Professional and related occupations,52
2022,1,4,5721.9722,5678.6919,5678.6919,23018.691,.5721972,.5721972,MD,Not identified,56,Female,Not hispanic,White,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT","Finance, insurance and real estate. Business, auto, repair, and other professional services.",Office and administrative support occupations,29
2022,1,8,4226.0337,4213.5571,4213.5571,18620.951,.42260334,.42260334,MD,33,37,Male,Not hispanic,Black,Not a veteran,"Self-employed, incorporated",Employed with one job,"PT hrs, usually PT for non-economic reasons","Finance, insurance and real estate. Business, auto, repair, and other professional services.","Management, business, and financial occupations",
2022,1,8,4256.333,4310.8062,4310.8062,17494.787,.42260334,.42563331,MD,33,34,Female,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT",Educational,Professional and related occupations,31.25
2022,1,8,4256.333,4310.8062,4310.8062,17494.787,.42563331,.42563331,MD,33,32,Female,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"PT hrs, usually PT for non-economic reasons",Entertainment and recreation,"Management, business, and financial occupations",5.6500001
2022,1,8,3672.9468,3663.4243,3663.4243,14806.221,.34141627,.34141627,MD,33,41,Male,Not hispanic,White,Not a veteran,Government - Federal,Employed with one job,"FT hours (35+), usually FT",Educational,Professional and related occupations,47.596001
2022,1,8,3414.1626,3361.0647,3361.0647,13200.464,.34141627,.34141627,MD,33,44,Female,Not hispanic,White,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT",Educational,Office and administrative support occupations,30.048
2022,1,8,3768.2087,3726.3069,3726.3069,15691.363,.34141627,.37682086,MD,33,16,Female,Not hispanic,White,,Government - State,Employed with one job,"Not at work, usually part-time",Educational,Service occupations,14
2022,1,8,3485.1448,3436.4119,3436.4119,13496.387,.34851447,.34851447,MD,Not identified,36,Female,Not hispanic,White,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT","Medical, except hospital","Management, business, and financial occupations",17.933332
2022,1,8,4397.5132,4334.9028,4334.9028,17520.09,.34851447,.4397513,MD,Not identified,38,Male,Hispanic,Hispanic,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT",Transportation,"Management, business, and financial occupations",27.5
2022,1,4,3871.5732,3848.0476,3848.0476,13547.817,.38715732,.38715732,MD,33,70,Female,Not hispanic,Black,Not a veteran,"Private, nonprofit",Employed with one job,"PT for non-economic reasons, usually FT","Finance, insurance and real estate. Business, auto, repair, and other professional services.",Professional and related occupations,4.6152501
2022,1,4,3637.0002,3551.4116,3551.4116,13833.888,.38715732,.38715732,MD,33,65,Male,Not hispanic,Black,Not a veteran,"Private, nonprofit",Employed with one job,"PT for non-economic reasons, usually FT","Finance, insurance and real estate. Business, auto, repair, and other professional services.",Professional and related occupations,7.5046344
2022,1,8,3880.4922,3856.9126,3856.9126,15399.553,.38804924,.38804924,MD,33,48,Female,Not hispanic,Black,Not a veteran,Government - State,Two jobs,"FT hours (35+), usually FT",Educational,Professional and related occupations,29
2022,1,8,3636.6599,3551.0791,3551.0791,15061.649,.38804924,.38804924,MD,33,59,Male,Not hispanic,Black,Not a veteran,Government - Local,Employed with one job,"FT hours (35+), usually FT",Entertainment and recreation,Transportation and material moving occupations,16
2022,1,8,5924.9834,5897.1294,5897.1294,22901.607,.57819366,.57819366,MD,Not identified,56,Male,Not hispanic,Asian,Not a veteran,"Self-employed, unincorporated",Employed with one job,"FT hours (35+), usually FT",Entertainment and recreation,"Management, business, and financial occupations",
2022,1,8,5781.9365,5716.8403,5716.8403,23357.254,.57819366,.57819366,MD,Not identified,46,Female,Not hispanic,Asian,Not a veteran,"Private, for profit",Employed with one job,"Not at work, usually FT",Retail trade,Transportation and material moving occupations,16
2022,1,8,4798.9331,4647.4541,4647.4541,18521.268,.57819366,.4798933,MD,Not identified,22,Male,Not hispanic,Asian,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT",Wholesale trade,Sales and related occupations,13.5
2022,1,4,5245.7026,5122.5967,5122.5967,19939.322,.56123334,.56123334,MD,33,33,Male,Hispanic,Hispanic,Not a veteran,"Private, for profit",Employed with one job,"PT hrs, usually PT for economic reasons",Construction,Construction and extraction occupations,15
2022,1,4,5612.3335,5649.915,5649.915,20115.877,.56123334,.56123334,MD,33,36,Female,Hispanic,Hispanic,Not a veteran,"Private, for profit",,Unemployed FT,Entertainment and recreation,Service occupations,
2022,1,8,5164.9399,5023.4629,5023.4629,19959.986,.49970031,.49970031,MD,25,68,Male,Not hispanic,White,Veteran,Government - Federal,Employed with one job,"FT hours (35+), usually FT",Public administration,Service occupations,38.461498
2022,1,8,4997.0034,4852.5659,4852.5659,19446.605,.49970031,.49970031,MD,25,69,Female,Not hispanic,White,Not a veteran,Government - Federal,Employed with one job,"FT hours (35+), usually FT",Public administration,Professional and related occupations,45.673
2022,1,4,4147.1675,4049.573,4049.573,16069.087,.41471675,.41471675,MD,31,47,Male,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT","Finance, insurance and real estate. Business, auto, repair, and other professional services.",Service occupations,31.153751
2022,1,4,3898.7104,3875.02,3875.02,17538.811,.41471675,.38987106,MD,31,45,Female,Not hispanic,Black,Not a veteran,"Self-employed, incorporated",Employed with one job,"FT hours (35+), usually FT",Entertainment and recreation,Service occupations,
2022,1,4,5611.3423,5552.6299,5552.6299,22983.857,.56113422,.56113422,MD,Not identified,55,Male,Not hispanic,White,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT",Construction,Construction and extraction occupations,31
2022,1,8,5167.1157,5156.7441,5156.7441,20444.227,.34141627,.34141627,MD,17,45,Male,Not hispanic,White,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT",Construction,Construction and extraction occupations,52
2022,1,8,3414.1626,3361.0647,3361.0647,13200.464,.34141627,.34141627,MD,17,40,Female,Not hispanic,White,Not a veteran,Government - State,Employed with one job,"FT hours (35+), usually FT",Educational,Professional and related occupations,33.653751
2022,1,8,4900.2305,4758.5908,4758.5908,19430.893,.49002308,.49002308,MD,31,74,Female,Not hispanic,White,Not a veteran,"Self-employed, unincorporated",Employed with one job,"PT hrs, usually PT for non-economic reasons",Educational,Professional and related occupations,
2022,1,4,4527.854,4424.9736,4424.9736,17958.117,.45278543,.45278543,MD,Not identified,28,Female,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT",Entertainment and recreation,Service occupations,13
2022,1,4,4276.3159,4331.0449,4331.0449,17576.922,.42763159,.42763159,MD,Not identified,32,Female,Not hispanic,Black,Not a veteran,"Private, nonprofit",Employed with one job,"FT hours (35+), usually FT","Medical, except hospital",Service occupations,23.075001
2022,1,4,3690.1907,3680.6235,3680.6235,14875.733,.34301916,.34301916,MD,Not identified,42,Male,Not hispanic,White,Not a veteran,"Private, for profit",Two jobs,"FT hours (35+), usually FT","Manufacturing, nondurable goods","Management, business, and financial occupations",118.05573
2022,1,8,3681.8862,3693.5886,3693.5886,14650.128,.73157644,.36818862,MD,Not identified,26,Male,Not hispanic,Asian,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT","Manufacturing, durable goods",Construction and extraction occupations,25
2022,1,8,4759.7461,4774.8745,4774.8745,18938.904,.73157644,.47597462,MD,Not identified,25,Male,Not hispanic,Multiple races,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT",Transportation,Office and administrative support occupations,18
2022,1,8,3485.1448,3436.4119,3436.4119,13496.387,.34851447,.34851447,MD,3,36,Female,Not hispanic,White,Not a veteran,Government - State,Employed with one job,"FT hours (35+), usually FT",Public administration,Professional and related occupations,48.557503
2022,1,8,3901.0994,3839.4346,3839.4346,15517.59,.34851447,.34851447,MD,3,36,Male,Not hispanic,White,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT","Manufacturing, durable goods",Construction and extraction occupations,30
2022,1,8,5900.2153,5873.1245,5873.1245,23995.783,.49002308,.59002149,MD,31,52,Female,Not hispanic,White,Not a veteran,Government - Federal,Employed with one job,"FT hours (35+), usually FT",Public administration,"Management, business, and financial occupations",52.083332
2022,1,8,5164.9399,5023.4629,5023.4629,19959.986,.49002308,.59002149,MD,31,66,Male,Not hispanic,White,Not a veteran,Government - Federal,Employed with one job,"FT hours (35+), usually FT",Public administration,"Management, business, and financial occupations",98.379768
2022,1,4,5611.3423,5552.6299,5552.6299,22983.857,.59279156,.59279156,MD,31,55,Male,Not hispanic,White,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT",Retail trade,"Management, business, and financial occupations",44.700001
2022,1,8,5164.9399,5023.4629,5023.4629,19959.986,.48821342,.48821342,MD,3,67,Male,Not hispanic,White,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT",Retail trade,Construction and extraction occupations,29
2022,1,4,5902.644,5763.7378,5763.7378,22871.055,.59026438,.59026438,MD,33,54,Male,Not hispanic,Black,Not a veteran,"Private, for profit",Two jobs,"FT hours (35+), usually FT",Transportation,Transportation and material moving occupations,21.25
2022,1,4,4127.7822,4109.8672,4109.8672,16301.242,.356112,.356112,MD,31,31,Male,Not hispanic,White,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT",Retail trade,Sales and related occupations,16
2022,1,4,3561.1199,3534.4116,3534.4116,13699.923,.356112,.356112,MD,31,29,Female,Not hispanic,White,Not a veteran,Government - State,Employed with one job,"PT for non-economic reasons, usually FT",Retail trade,Sales and related occupations,31.25
2022,1,8,4966.2559,4936.3262,4936.3262,19126.848,.4966256,.4966256,MD,Not identified,61,Female,Not hispanic,White,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT",Hospital,Professional and related occupations,31.25
2022,1,8,5317.9976,5281.8882,5281.8882,21965.51,.4966256,.4966256,MD,Not identified,63,Male,Not hispanic,White,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT","Finance, insurance and real estate. Business, auto, repair, and other professional services.",Professional and related occupations,30
2022,1,4,4127.7822,4109.8672,4109.8672,16301.242,.3501507,.3501507,MD,Not identified,34,Male,Not hispanic,White,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT","Finance, insurance and real estate. Business, auto, repair, and other professional services.","Management, business, and financial occupations",31.25
2022,1,4,3653.7334,3567.7507,3567.7507,15766.943,.39760366,.39760366,MD,33,61,Male,Not hispanic,Black,Not a veteran,"Self-employed, incorporated",Employed with one job,"FT hours (35+), usually FT",Transportation,"Management, business, and financial occupations",
2022,1,4,3976.0366,3951.8762,3951.8762,15050.207,.39760366,.39760366,MD,33,58,Female,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"PT for non-economic reasons, usually FT","Medical, except hospital",Office and administrative support occupations,32.5
2022,1,4,8034.1309,8379.7998,8379.7998,31312.949,.39760366,.80341309,MD,33,20,Female,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"PT hrs, usually PT for economic reasons",Entertainment and recreation,Service occupations,12.5
2022,1,4,4527.854,4424.9736,4424.9736,17958.117,.39760366,.45278543,MD,33,26,Female,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT","Medical, except hospital",Office and administrative support occupations,15
2022,1,4,4276.3159,4331.0449,4331.0449,17576.922,.39760366,.42763159,MD,33,31,Female,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT","Medical, except hospital","Management, business, and financial occupations",28.36525
2022,1,8,5875.0615,5736.8047,5736.8047,22764.18,.58750612,.58750612,MD,33,50,Male,Not hispanic,Black,Not a veteran,"Private, for profit",Employed with one job,"FT hours (35+), usually FT","Finance, insurance and real estate. Business, auto, repair, and other professional services.","Management, business, and financial occupations",25
2022,1,4,3919.4143,3857.4602,3857.4602,15590.442,.39194143,.39194143,MD,Not identified,39,Male,Not hispanic,White,Veteran,Government - Federal,Employed with one job,"FT hours (35+), usually FT",Public administration,Office and administrative support occupations,54.807503
